,timeGame,team1Name,team1Score,team1Odds,team2Name,team2Score,team2Odds
0,16:05,Chicago Cubs,5,1.66,Oakland Athletics,4,2.15
1,16:05,Los Angeles Dodgers,6,1.55,Cleveland Guardians,2,2.36
2,16:05,San Francisco Giants,3,1.53,Arizona Diamondbacks,5,2.41
3,16:05,Texas Rangers,14,2.20,Chicago White Sox,5,1.64
4,13:05,Atlanta Braves,7,1.78,Tampa Bay Rays,7,1.98
5,13:05,Boston Red Sox,4,1.70,Minnesota Twins,10,2.08
6,13:05,Detroit Tigers,6,1.46,Pittsburgh Pirates,6,2.61
7,13:05,Houston Astros,10,1.75,St.Louis Cardinals,3,2.02
8,13:05,Miami Marlins,3,1.95,Washington Nationals,2,1.80
9,13:05,Philadelphia Phillies,8,1.56,Toronto Blue Jays,7,2.34
10,18:10,New York Mets,2,1.52,Houston Astros,0,2.46
11,16:10,Arizona Diamondbacks,1,1.96,Texas Rangers,4,1.80
12,16:10,Los Angeles Angels,7,1.66,Colorado Rockies,4,2.17
13,16:10,Milwaukee Brewers,3,2.33,Chicago White Sox,4,1.57
14,16:10,Seattle Mariners,5,1.69,Chicago Cubs,5,2.12
15,16:05,Cleveland Guardians,6,1.70,San Diego Padres,1,2.09
16,16:05,Kansas City Royals,5,1.57,Oakland Athletics,3,2.34
17,16:05,Los Angeles Dodgers,8,1.48,Cincinnati Reds,10,2.55
18,13:07,Toronto Blue Jays,9,1.51,New York Yankees,2,2.47
19,13:05,Minnesota Twins,0,1.73,Atlanta Braves,4,2.05
20,16:05,Chicago Cubs,5,1.66,Oakland Athletics,4,2.15
21,16:05,Los Angeles Dodgers,6,1.55,Cleveland Guardians,2,2.36
22,16:05,San Francisco Giants,3,1.53,Arizona Diamondbacks,5,2.41
23,16:05,Texas Rangers,14,2.20,Chicago White Sox,5,1.64
24,13:05,Atlanta Braves,7,1.78,Tampa Bay Rays,7,1.98
25,13:05,Boston Red Sox,4,1.70,Minnesota Twins,10,2.08
26,13:05,Detroit Tigers,6,1.46,Pittsburgh Pirates,6,2.61
27,13:05,Houston Astros,10,1.75,St.Louis Cardinals,3,2.02
28,13:05,Miami Marlins,3,1.95,Washington Nationals,2,1.80
29,13:05,Philadelphia Phillies,8,1.56,Toronto Blue Jays,7,2.34
30,18:10,New York Mets,2,1.52,Houston Astros,0,2.46
31,16:10,Arizona Diamondbacks,1,1.96,Texas Rangers,4,1.80
32,16:10,Los Angeles Angels,7,1.66,Colorado Rockies,4,2.17
33,16:10,Milwaukee Brewers,3,2.33,Chicago White Sox,4,1.57
34,16:10,Seattle Mariners,5,1.69,Chicago Cubs,5,2.12
35,16:05,Cleveland Guardians,6,1.70,San Diego Padres,1,2.09
36,16:05,Kansas City Royals,5,1.57,Oakland Athletics,3,2.34
37,16:05,Los Angeles Dodgers,8,1.48,Cincinnati Reds,10,2.55
38,13:07,Toronto Blue Jays,9,1.51,New York Yankees,2,2.47
39,13:05,Minnesota Twins,0,1.73,Atlanta Braves,4,2.05
40,16:05,Chicago Cubs,5,1.66,Oakland Athletics,4,2.15
41,16:05,Los Angeles Dodgers,6,1.55,Cleveland Guardians,2,2.36
42,16:05,San Francisco Giants,3,1.53,Arizona Diamondbacks,5,2.41
43,16:05,Texas Rangers,14,2.20,Chicago White Sox,5,1.64
44,13:05,Atlanta Braves,7,1.78,Tampa Bay Rays,7,1.98
45,13:05,Boston Red Sox,4,1.70,Minnesota Twins,10,2.08
46,13:05,Detroit Tigers,6,1.46,Pittsburgh Pirates,6,2.61
47,13:05,Houston Astros,10,1.75,St.Louis Cardinals,3,2.02
48,13:05,Miami Marlins,3,1.95,Washington Nationals,2,1.80
49,13:05,Philadelphia Phillies,8,1.56,Toronto Blue Jays,7,2.34
50,18:10,New York Mets,2,1.52,Houston Astros,0,2.46
51,16:10,Arizona Diamondbacks,1,1.96,Texas Rangers,4,1.80
52,16:10,Los Angeles Angels,7,1.66,Colorado Rockies,4,2.17
53,16:10,Milwaukee Brewers,3,2.33,Chicago White Sox,4,1.57
54,16:10,Seattle Mariners,5,1.69,Chicago Cubs,5,2.12
